Farmer_ID,Region,Crop_Type,Land_Size_ha,Fertilizer_Type,Fertilizer_Quantity_kg,Fertilizer_Cost_RWF,Yield_kg,Market_Price_RWF_per_kg,Total_Revenue_RWF,Net_Profit_RWF
F_001,Southern,Beans,2.11,Organic,57.4,26331.0,2779.0,450,1250550.0,1224219.0
F_002,Western,Beans,1.64,Organic,47.1,17192.0,3190.0,400,1276000.0,1258808.0
F_003,Northern,Beans,1.83,Chemical,46.9,24841.0,4186.0,300,1255800.0,1230959.0
F_004,Western,Potatoes,1.95,Chemical,15.8,27669.0,2764.0,300,829200.0,801531.0
F_005,Western,Potatoes,4.32,Chemical,62.0,24486.0,1815.0,400,726000.0,701514.0
F_006,Eastern,Cassava,1.11,Chemical,52.2,14258.0,2601.0,300,780300.0,766042.0
F_007,Northern,Cassava,3.69,Organic,76.9,38611.0,3770.0,450,1696500.0,1657889.0
F_008,Northern,Maize,2.99,Chemical,48.9,25702.0,3677.0,250,919250.0,893548.0
F_009,Northern,Maize,1.83,None,58.5,18646.0,3519.0,450,1583550.0,1564904.0
F_010,Western,Cassava,2.39,None,62.5,37966.0,2375.0,450,1068750.0,1030784.0
F_011,Southern,Potatoes,1.65,Organic,23.8,29939.0,3752.0,300,1125600.0,1095661.0
F_012,Northern,Beans,3.25,Chemical,89.3,15399.0,3977.0,250,994250.0,978851.0
F_013,Western,Cassava,0.87,Chemical,43.5,16644.0,2305.0,300,691500.0,674856.0
F_014,Eastern,Maize,0.52,None,57.4,23221.0,2958.0,350,1035300.0,1012079.0
F_015,Southern,Potatoes,3.33,None,59.6,27378.0,5020.0,300,1506000.0,1478622.0
F_016,Eastern,Cassava,1.37,Chemical,37.8,29982.0,2260.0,300,678000.0,648018.0
F_017,Southern,Cassava,0.82,Organic,77.7,32601.0,1295.0,300,388500.0,355899.0
F_018,Western,Potatoes,2.29,Chemical,54.0,29317.0,4383.0,250,1095750.0,1066433.0
F_019,Kigali,Cassava,0.73,Chemical,46.8,35774.0,4137.0,300,1241100.0,1205326.0
F_020,Southern,Potatoes,4.49,Chemical,52.1,26014.0,2543.0,250,635750.0,609736.0
F_021,Eastern,Beans,0.62,Chemical,61.5,18923.0,2887.0,400,1154800.0,1135877.0
F_022,Western,Potatoes,3.1,None,50.2,24973.0,1775.0,350,621250.0,596277.0
F_023,Southern,Potatoes,2.47,Organic,63.2,24448.0,3089.0,250,772250.0,747802.0
F_024,Kigali,Potatoes,3.52,Chemical,24.7,4374.0,4166.0,400,1666400.0,1662026.0
F_025,Kigali,Cassava,1.98,Organic,38.8,20509.0,2457.0,250,614250.0,593741.0
F_026,Northern,Cassava,1.2,None,17.9,27514.0,3877.0,250,969250.0,941736.0
F_027,Northern,Potatoes,4.92,None,80.0,21606.0,3464.0,350,1212400.0,1190794.0
F_028,Eastern,Cassava,4.28,Chemical,79.8,19830.0,3578.0,450,1610100.0,1590270.0
F_029,Southern,Maize,4.37,Chemical,59.4,32291.0,2516.0,450,1132200.0,1099909.0
F_030,Southern,Maize,1.63,Chemical,34.8,17668.0,2645.0,250,661250.0,643582.0
F_031,Northern,Cassava,0.67,Chemical,85.8,30693.0,1153.0,300,345900.0,315207.0
F_032,Southern,Cassava,1.86,Chemical,40.9,14338.0,2433.0,400,973200.0,958862.0
F_033,Southern,Potatoes,2.92,Organic,46.8,47086.0,4163.0,300,1248900.0,1201814.0
F_034,Kigali,Beans,1.97,Chemical,52.4,23275.0,2071.0,300,621300.0,598025.0
F_035,Northern,Cassava,4.23,Chemical,56.8,22414.0,2220.0,250,555000.0,532586.0
F_036,Western,Maize,1.72,Chemical,59.7,34145.0,3640.0,250,910000.0,875855.0
F_037,Northern,Potatoes,4.84,Chemical,60.3,21650.0,3403.0,250,850750.0,829100.0
F_038,Western,Cassava,2.56,Chemical,47.8,36639.0,3690.0,250,922500.0,885861.0
F_039,Kigali,Maize,4.29,Chemical,60.0,27973.0,1837.0,450,826650.0,798677.0
F_040,Eastern,Maize,1.37,Chemical,47.2,24053.0,5564.0,250,1391000.0,1366947.0
F_041,Southern,Beans,2.35,Chemical,58.7,23200.0,1784.0,450,802800.0,779600.0
F_042,Kigali,Potatoes,3.65,Chemical,57.5,34661.0,3154.0,450,1419300.0,1384639.0
F_043,Southern,Potatoes,1.12,Organic,61.4,26844.0,2841.0,250,710250.0,683406.0
